n,partie_imaginaire,T_MAX,version,methode_affinage,pas_balayage,calcule_le
1,14.134725141734693,80.0,v5,illinois_mpfr_cb_voie_b,0.05,20260529_152422
2,21.022039638771556,80.0,v5,illinois_mpfr_cb_voie_b,0.05,20260529_152422
3,25.010857580145686,80.0,v5,illinois_mpfr_cb_voie_b,0.05,20260529_152422
4,30.424876125859512,80.0,v5,illinois_mpfr_cb_voie_b,0.05,20260529_152422
5,32.935061587739185,80.0,v5,illinois_mpfr_cb_voie_b,0.05,20260529_152422
6,37.586178158825675,80.0,v5,illinois_mpfr_cb_voie_b,0.05,20260529_152422
7,40.9187190121475,80.0,v5,illinois_mpfr_cb_voie_b,0.05,20260529_152422
8,43.327073280914995,80.0,v5,illinois_mpfr_cb_voie_b,0.05,20260529_152422
9,48.00515088116716,80.0,v5,illinois_mpfr_cb_voie_b,0.05,20260529_152422
10,49.7738324776723,80.0,v5,illinois_mpfr_cb_voie_b,0.05,20260529_152422
11,52.97032147771446,80.0,v5,illinois_mpfr_cb_voie_b,0.05,20260529_152422
12,56.44624769706339,80.0,v5,illinois_mpfr_cb_voie_b,0.05,20260529_152422
13,59.34704400260235,80.0,v5,illinois_mpfr_cb_voie_b,0.05,20260529_152422
14,60.83177852460981,80.0,v5,illinois_mpfr_cb_voie_b,0.05,20260529_152422
15,65.1125440480816,80.0,v5,illinois_mpfr_cb_voie_b,0.05,20260529_152422
16,67.07981052949417,80.0,v5,illinois_mpfr_cb_voie_b,0.05,20260529_152422
17,69.54640171117397,80.0,v5,illinois_mpfr_cb_voie_b,0.05,20260529_152422
18,72.0671576744819,80.0,v5,illinois_mpfr_cb_voie_b,0.05,20260529_152422
19,75.70469069908393,80.0,v5,illinois_mpfr_cb_voie_b,0.05,20260529_152422
20,77.1448400688748,80.0,v5,illinois_mpfr_cb_voie_b,0.05,20260529_152422
21,79.33737502024935,80.0,v5,illinois_mpfr_cb_voie_b,0.05,20260529_152422
