n,imaginary_part,computed_at
1,14.13472514172898,2026-04-24T18:30:26.321060
2,21.022039638768234,2026-04-24T18:30:26.321060
3,25.010857580148254,2026-04-24T18:30:26.321060
4,30.424876125867197,2026-04-24T18:30:26.321060
5,32.935061587731106,2026-04-24T18:30:26.321060
6,37.58617815881763,2026-04-24T18:30:26.321060
7,40.918719012139235,2026-04-24T18:30:26.321060
8,43.327073280921105,2026-04-24T18:30:26.321060
9,48.005150881153966,2026-04-24T18:30:26.321060
10,49.773832477652924,2026-04-24T18:30:26.321060
11,52.97032147769401,2026-04-24T18:30:26.321060
12,56.446247697086626,2026-04-24T18:30:26.321060
13,59.34704400261458,2026-04-24T18:30:26.321060
14,60.8317785246071,2026-04-24T18:30:26.321060
15,65.11254404808919,2026-04-24T18:30:26.321060
16,67.07981052950538,2026-04-24T18:30:26.321060
17,69.54640171115786,2026-04-24T18:30:26.321060
18,72.0671576744646,2026-04-24T18:30:26.321060
19,75.70469069906974,2026-04-24T18:30:26.321060
20,77.14484006885895,2026-04-24T18:30:26.321060
21,79.33737502025885,2026-04-24T18:30:26.321060
22,82.91038085410796,2026-04-24T18:30:26.321060
23,87.42527461310316,2026-04-24T18:30:26.321060
24,88.80911120765302,2026-04-24T18:30:26.321060
25,92.49189927054007,2026-04-24T18:30:26.321060
26,94.65134404054734,2026-04-24T18:30:26.321060
27,95.87063422822278,2026-04-24T18:30:26.321060
28,101.31785100572596,2026-04-24T18:30:26.321060
29,103.72553804046314,2026-04-24T18:30:26.321060
30,105.44662305232899,2026-04-24T18:30:26.321060
31,107.16861118427298,2026-04-24T18:30:26.321060
32,111.02953554312496,2026-04-24T18:30:26.321060
33,111.87465917696038,2026-04-24T18:30:26.321060
34,116.22668032082497,2026-04-24T18:30:26.321060
35,118.79078286601916,2026-04-24T18:30:26.321060
36,121.37012500245795,2026-04-24T18:30:26.321060
37,124.2568185543148,2026-04-24T18:30:26.321060
38,127.51668387963142,2026-04-24T18:30:26.321060
39,129.57870419998346,2026-04-24T18:30:26.321060
40,131.0876885309318,2026-04-24T18:30:26.321060
41,133.4977372030229,2026-04-24T18:30:26.321060
42,134.75650975335984,2026-04-24T18:30:26.321060
43,138.11604205448756,2026-04-24T18:30:26.321060
44,139.73620895207495,2026-04-24T18:30:26.321060
45,141.12370740403048,2026-04-24T18:30:26.321060
46,143.1118458075876,2026-04-24T18:30:26.321060
47,146.00098248677858,2026-04-24T18:30:26.321060
48,147.42276534256118,2026-04-24T18:30:26.321060
49,150.0535204207948,2026-04-24T18:30:26.321060
50,150.92525761224832,2026-04-24T18:30:26.321060
51,153.02469381116822,2026-04-24T18:30:26.321060
52,156.11290929424118,2026-04-24T18:30:26.321060
53,157.59759181760717,2026-04-24T18:30:26.321060
