n,partie_imaginaire,T_MAX,methode,precision_dps,calcule_le
1,14.134725141734693,10000.0,Hardy-Z + Illinois,50,20260424_205325
2,21.022039638771556,10000.0,Hardy-Z + Illinois,50,20260424_205325
3,25.01085758014569,10000.0,Hardy-Z + Illinois,50,20260424_205325
4,30.424876125859512,10000.0,Hardy-Z + Illinois,50,20260424_205325
5,32.935061587739185,10000.0,Hardy-Z + Illinois,50,20260424_205325
6,37.586178158825675,10000.0,Hardy-Z + Illinois,50,20260424_205325
7,40.9187190121475,10000.0,Hardy-Z + Illinois,50,20260424_205325
8,43.327073280914995,10000.0,Hardy-Z + Illinois,50,20260424_205325
9,48.005150881167154,10000.0,Hardy-Z + Illinois,50,20260424_205325
10,49.7738324776723,10000.0,Hardy-Z + Illinois,50,20260424_205325
11,52.97032147771446,10000.0,Hardy-Z + Illinois,50,20260424_205325
12,56.44624769706339,10000.0,Hardy-Z + Illinois,50,20260424_205325
13,59.34704400260236,10000.0,Hardy-Z + Illinois,50,20260424_205325
14,60.83177852460982,10000.0,Hardy-Z + Illinois,50,20260424_205325
15,65.11254404808162,10000.0,Hardy-Z + Illinois,50,20260424_205325
16,67.07981052949418,10000.0,Hardy-Z + Illinois,50,20260424_205325
17,69.54640171117397,10000.0,Hardy-Z + Illinois,50,20260424_205325
18,72.0671576744819,10000.0,Hardy-Z + Illinois,50,20260424_205325
19,75.70469069908393,10000.0,Hardy-Z + Illinois,50,20260424_205325
20,77.1448400688748,10000.0,Hardy-Z + Illinois,50,20260424_205325
21,79.33737502024937,10000.0,Hardy-Z + Illinois,50,20260424_205325
22,82.91038085408603,10000.0,Hardy-Z + Illinois,50,20260424_205325
23,84.73549298051704,10000.0,Hardy-Z + Illinois,50,20260424_205325
24,87.42527461312524,10000.0,Hardy-Z + Illinois,50,20260424_205325
25,88.80911120763446,10000.0,Hardy-Z + Illinois,50,20260424_205325
26,92.49189927055849,10000.0,Hardy-Z + Illinois,50,20260424_205325
27,94.65134404051989,10000.0,Hardy-Z + Illinois,50,20260424_205325
28,95.87063422824532,10000.0,Hardy-Z + Illinois,50,20260424_205325
29,98.83119421819369,10000.0,Hardy-Z + Illinois,50,20260424_205325
30,101.3178510057314,10000.0,Hardy-Z + Illinois,50,20260424_205325
31,103.72553804047833,10000.0,Hardy-Z + Illinois,50,20260424_205325
32,105.4466230523261,10000.0,Hardy-Z + Illinois,50,20260424_205325
33,107.16861118427641,10000.0,Hardy-Z + Illinois,50,20260424_205325
34,111.02953554316969,10000.0,Hardy-Z + Illinois,50,20260424_205325
35,111.87465917699265,10000.0,Hardy-Z + Illinois,50,20260424_205325
36,114.32022091545272,10000.0,Hardy-Z + Illinois,50,20260424_205325
37,116.22668032085755,10000.0,Hardy-Z + Illinois,50,20260424_205325
38,118.79078286597623,10000.0,Hardy-Z + Illinois,50,20260424_205325
39,121.37012500242065,10000.0,Hardy-Z + Illinois,50,20260424_205325
40,122.9468292935526,10000.0,Hardy-Z + Illinois,50,20260424_205325
41,124.25681855434577,10000.0,Hardy-Z + Illinois,50,20260424_205325
42,127.51668387959648,10000.0,Hardy-Z + Illinois,50,20260424_205325
43,129.57870419995604,10000.0,Hardy-Z + Illinois,50,20260424_205325
44,131.08768853093264,10000.0,Hardy-Z + Illinois,50,20260424_205325
45,133.49773720299757,10000.0,Hardy-Z + Illinois,50,20260424_205325
46,134.75650975337385,10000.0,Hardy-Z + Illinois,50,20260424_205325
47,138.11604205453347,10000.0,Hardy-Z + Illinois,50,20260424_205325
48,139.73620895212142,10000.0,Hardy-Z + Illinois,50,20260424_205325
49,141.12370740402113,10000.0,Hardy-Z + Illinois,50,20260424_205325
50,143.11184580762065,10000.0,Hardy-Z + Illinois,50,20260424_205325
51,146.00098248676554,10000.0,Hardy-Z + Illinois,50,20260424_205325
52,147.42276534255961,10000.0,Hardy-Z + Illinois,50,20260424_205325
53,150.05352042078488,10000.0,Hardy-Z + Illinois,50,20260424_205325
54,150.9252576122415,10000.0,Hardy-Z + Illinois,50,20260424_205325
55,153.0246938111989,10000.0,Hardy-Z + Illinois,50,20260424_205325
56,156.11290929423788,10000.0,Hardy-Z + Illinois,50,20260424_205325
57,157.59759181759404,10000.0,Hardy-Z + Illinois,50,20260424_205325
58,158.8499881714205,10000.0,Hardy-Z + Illinois,50,20260424_205325
59,161.188964137596,10000.0,Hardy-Z + Illinois,50,20260424_205325
60,163.03070968718197,10000.0,Hardy-Z + Illinois,50,20260424_205325
61,165.53706918790044,10000.0,Hardy-Z + Illinois,50,20260424_205325
62,167.18443997817454,10000.0,Hardy-Z + Illinois,50,20260424_205325
63,169.09451541556885,10000.0,Hardy-Z + Illinois,50,20260424_205325
64,169.91197647941172,10000.0,Hardy-Z + Illinois,50,20260424_205325
65,173.41153651959155,10000.0,Hardy-Z + Illinois,50,20260424_205325
66,174.75419152336573,10000.0,Hardy-Z + Illinois,50,20260424_205325
67,176.4414342977104,10000.0,Hardy-Z + Illinois,50,20260424_205325
68,178.37740777609997,10000.0,Hardy-Z + Illinois,50,20260424_205325
69,179.916484020257,10000.0,Hardy-Z + Illinois,50,20260424_205325
70,182.20707848436646,10000.0,Hardy-Z + Illinois,50,20260424_205325
71,184.87446784838752,10000.0,Hardy-Z + Illinois,50,20260424_205325
72,185.59878367770747,10000.0,Hardy-Z + Illinois,50,20260424_205325
73,187.22892258350186,10000.0,Hardy-Z + Illinois,50,20260424_205325
74,189.41615865601696,10000.0,Hardy-Z + Illinois,50,20260424_205325
75,192.0266563607138,10000.0,Hardy-Z + Illinois,50,20260424_205325
76,193.07972660384573,10000.0,Hardy-Z + Illinois,50,20260424_205325
77,195.26539667952926,10000.0,Hardy-Z + Illinois,50,20260424_205325
78,196.87648184095832,10000.0,Hardy-Z + Illinois,50,20260424_205325
79,198.01530967625192,10000.0,Hardy-Z + Illinois,50,20260424_205325
80,201.26475194370377,10000.0,Hardy-Z + Illinois,50,20260424_205325
