n,partie_imaginaire,sauvegarde_le
1,14.134725141734693,2026-04-25T18:01:52.452685
2,21.022039638771556,2026-04-25T18:01:52.452685
3,25.01085758014569,2026-04-25T18:01:52.452685
4,30.424876125859512,2026-04-25T18:01:52.452685
5,32.935061587739185,2026-04-25T18:01:52.452685
6,37.586178158825675,2026-04-25T18:01:52.452685
7,40.9187190121475,2026-04-25T18:01:52.452685
8,43.327073280914995,2026-04-25T18:01:52.452685
9,48.005150881167154,2026-04-25T18:01:52.452685
10,49.7738324776723,2026-04-25T18:01:52.452685
11,52.97032147771446,2026-04-25T18:01:52.452685
12,56.44624769706339,2026-04-25T18:01:52.452685
13,59.34704400260236,2026-04-25T18:01:52.452685
14,60.83177852460982,2026-04-25T18:01:52.452685
15,65.11254404808162,2026-04-25T18:01:52.452685
16,67.07981052949418,2026-04-25T18:01:52.452685
17,69.54640171117397,2026-04-25T18:01:52.452685
18,72.0671576744819,2026-04-25T18:01:52.452685
19,75.70469069908393,2026-04-25T18:01:52.452685
20,77.1448400688748,2026-04-25T18:01:52.452685
21,79.33737502024937,2026-04-25T18:01:52.452685
22,82.91038085408603,2026-04-25T18:01:52.452685
23,84.73549298051704,2026-04-25T18:01:52.452685
24,87.42527461312524,2026-04-25T18:01:52.452685
25,88.80911120763446,2026-04-25T18:01:52.452685
26,92.49189927055849,2026-04-25T18:01:52.452685
27,94.65134404051989,2026-04-25T18:01:52.452685
28,95.87063422824532,2026-04-25T18:01:52.452685
29,98.83119421819369,2026-04-25T18:01:52.452685
30,101.3178510057314,2026-04-25T18:01:52.452685
31,103.72553804047833,2026-04-25T18:01:52.452685
32,105.4466230523261,2026-04-25T18:01:52.452685
33,107.16861118427641,2026-04-25T18:01:52.452685
34,111.02953554316969,2026-04-25T18:01:52.452685
35,111.87465917699265,2026-04-25T18:01:52.452685
36,114.32022091545272,2026-04-25T18:01:52.452685
37,116.22668032085755,2026-04-25T18:01:52.452685
38,118.79078286597623,2026-04-25T18:01:52.452685
39,121.37012500242065,2026-04-25T18:01:52.452685
40,122.9468292935526,2026-04-25T18:01:52.452685
41,124.25681855434577,2026-04-25T18:01:52.452685
42,127.51668387959648,2026-04-25T18:01:52.452685
43,129.57870419995604,2026-04-25T18:01:52.452685
44,131.08768853093264,2026-04-25T18:01:52.452685
45,133.49773720299757,2026-04-25T18:01:52.452685
46,134.75650975337385,2026-04-25T18:01:52.452685
47,138.11604205453347,2026-04-25T18:01:52.452685
48,139.73620895212142,2026-04-25T18:01:52.452685
49,141.12370740402113,2026-04-25T18:01:52.452685
50,143.11184580762065,2026-04-25T18:01:52.452685
51,146.00098248676554,2026-04-25T18:01:52.452685
52,147.42276534255961,2026-04-25T18:01:52.452685
53,150.05352042078488,2026-04-25T18:01:52.452685
54,150.9252576122415,2026-04-25T18:01:52.452685
55,153.0246938111989,2026-04-25T18:01:52.452685
56,156.11290929423788,2026-04-25T18:01:52.452685
57,157.59759181759404,2026-04-25T18:01:52.452685
58,158.8499881714205,2026-04-25T18:01:52.452685
59,161.188964137596,2026-04-25T18:01:52.452685
60,163.03070968718197,2026-04-25T18:01:52.452685
61,165.53706918790044,2026-04-25T18:01:52.452685
62,167.18443997817454,2026-04-25T18:01:52.452685
63,169.09451541556885,2026-04-25T18:01:52.452685
64,169.91197647941172,2026-04-25T18:01:52.452685
65,173.41153651959155,2026-04-25T18:01:52.452685
66,174.75419152336573,2026-04-25T18:01:52.452685
67,176.4414342977104,2026-04-25T18:01:52.452685
68,178.37740777609997,2026-04-25T18:01:52.452685
69,179.916484020257,2026-04-25T18:01:52.452685
70,182.20707848436646,2026-04-25T18:01:52.452685
71,184.87446784838752,2026-04-25T18:01:52.452685
72,185.59878367770747,2026-04-25T18:01:52.452685
73,187.22892258350186,2026-04-25T18:01:52.452685
74,189.41615865601696,2026-04-25T18:01:52.452685
75,192.0266563607138,2026-04-25T18:01:52.452685
76,193.07972660384573,2026-04-25T18:01:52.452685
77,195.26539667952926,2026-04-25T18:01:52.452685
78,196.87648184095832,2026-04-25T18:01:52.452685
79,198.01530967625192,2026-04-25T18:01:52.452685
80,201.26475194370377,2026-04-25T18:01:52.452685
81,202.4935945141405,2026-04-25T18:01:52.452685
82,204.18967180310457,2026-04-25T18:01:52.452685
83,205.3946972021633,2026-04-25T18:01:52.452685
84,207.9062588878062,2026-04-25T18:01:52.452685
85,209.57650971685626,2026-04-25T18:01:52.452685
86,211.69086259536533,2026-04-25T18:01:52.452685
87,213.34791935971268,2026-04-25T18:01:52.452685
88,214.54704478349143,2026-04-25T18:01:52.452685
89,216.1695385082637,2026-04-25T18:01:52.452685
90,219.0675963490214,2026-04-25T18:01:52.452685
91,220.71491883931398,2026-04-25T18:01:52.452685
92,221.43070555469333,2026-04-25T18:01:52.452685
93,224.00700025460432,2026-04-25T18:01:52.452685
94,224.98332466958226,2026-04-25T18:01:52.452685
95,227.42144427967926,2026-04-25T18:01:52.452685
96,229.33741330552536,2026-04-25T18:01:52.452685
97,231.25018870049914,2026-04-25T18:01:52.452685
98,231.98723525318027,2026-04-25T18:01:52.452685
99,233.6934041789083,2026-04-25T18:01:52.452685
100,236.52422966581622,2026-04-25T18:01:52.452685
101,237.7698204809252,2026-04-25T18:01:52.452685
102,239.5554775733276,2026-04-25T18:01:52.452685
103,241.0491577962166,2026-04-25T18:01:52.452685
104,242.8232719342226,2026-04-25T18:01:52.452685
105,244.07089849707813,2026-04-25T18:01:52.452685
106,247.13699007489748,2026-04-25T18:01:52.452685
107,248.10199006014847,2026-04-25T18:01:52.452685
108,249.57368964470723,2026-04-25T18:01:52.452685
109,251.01494779501598,2026-04-25T18:01:52.452685
110,253.06998674799945,2026-04-25T18:01:52.452685
111,255.306256454914,2026-04-25T18:01:52.452685
112,256.3807136944345,2026-04-25T18:01:52.452685
113,258.61043949153134,2026-04-25T18:01:52.452685
114,259.87440698967805,2026-04-25T18:01:52.452685
115,260.8050845045969,2026-04-25T18:01:52.452685
116,263.5738939048701,2026-04-25T18:01:52.452685
117,265.55785183887633,2026-04-25T18:01:52.452685
118,266.6149737815011,2026-04-25T18:01:52.452685
119,267.92191508282406,2026-04-25T18:01:52.452685
120,269.97044902399756,2026-04-25T18:01:52.452685
121,271.494055641645,2026-04-25T18:01:52.452685
122,273.4596091884033,2026-04-25T18:01:52.452685
123,275.58749264934386,2026-04-25T18:01:52.452685
124,276.45204950313297,2026-04-25T18:01:52.452685
125,278.25074352984194,2026-04-25T18:01:52.452685
126,279.2292509277452,2026-04-25T18:01:52.452685
127,282.46511476505214,2026-04-25T18:01:52.452685
128,283.21118573323383,2026-04-25T18:01:52.452685
129,284.83596398090475,2026-04-25T18:01:52.452685
130,286.6674453630029,2026-04-25T18:01:52.452685
131,287.9119205014222,2026-04-25T18:01:52.452685
132,289.57985492921887,2026-04-25T18:01:52.452685
133,291.84629132906736,2026-04-25T18:01:52.452685
134,293.55843413935634,2026-04-25T18:01:52.452685
135,294.9653696192656,2026-04-25T18:01:52.452685
136,295.5732548789583,2026-04-25T18:01:52.452685
137,297.97927706194344,2026-04-25T18:01:52.452685
138,299.84032605372136,2026-04-25T18:01:52.452685
139,301.64932546219416,2026-04-25T18:01:52.452685
140,302.69674958960695,2026-04-25T18:01:52.452685
141,304.8643713408573,2026-04-25T18:01:52.452685
142,305.7289126020368,2026-04-25T18:01:52.452685
143,307.21949612817,2026-04-25T18:01:52.452685
144,310.1094631467019,2026-04-25T18:01:52.452685
145,311.165141530356,2026-04-25T18:01:52.452685
146,312.42780118060085,2026-04-25T18:01:52.452685
147,313.98528573115897,2026-04-25T18:01:52.452685
148,315.47561608947575,2026-04-25T18:01:52.452685
149,317.73480594237014,2026-04-25T18:01:52.452685
150,318.8531042563166,2026-04-25T18:01:52.452685
151,321.16013430911363,2026-04-25T18:01:52.452685
152,322.1445586724829,2026-04-25T18:01:52.452685
153,323.4669695575121,2026-04-25T18:01:52.452685
154,324.86286605173956,2026-04-25T18:01:52.452685
155,327.4439012619054,2026-04-25T18:01:52.452685
156,329.033071680481,2026-04-25T18:01:52.452685
157,329.9532397282339,2026-04-25T18:01:52.452685
158,331.47446758266346,2026-04-25T18:01:52.452685
159,333.64537852486984,2026-04-25T18:01:52.452685
160,334.21135483324434,2026-04-25T18:01:52.452685
161,336.84185042839067,2026-04-25T18:01:52.452685
162,338.3399928508066,2026-04-25T18:01:52.452685
163,339.85821672536355,2026-04-25T18:01:52.452685
164,341.0422611110465,2026-04-25T18:01:52.452685
165,342.0548775103636,2026-04-25T18:01:52.452685
166,344.6617029402524,2026-04-25T18:01:52.452685
167,346.34787056600993,2026-04-25T18:01:52.452685
168,347.27267758442053,2026-04-25T18:01:52.452685
169,349.31626087069617,2026-04-25T18:01:52.452685
170,350.4084193491921,2026-04-25T18:01:52.452685
171,351.8786490253593,2026-04-25T18:01:52.452685
172,353.4889004887188,2026-04-25T18:01:52.452685
173,356.0175749772649,2026-04-25T18:01:52.452685
174,357.1513022520396,2026-04-25T18:01:52.452685
175,357.9526851016323,2026-04-25T18:01:52.452685
176,359.74375495311443,2026-04-25T18:01:52.452685
177,361.28936169580464,2026-04-25T18:01:52.452685
178,363.3313305789738,2026-04-25T18:01:52.452685
179,364.736024114089,2026-04-25T18:01:52.452685
180,366.2127102883313,2026-04-25T18:01:52.452685
181,367.99357548174027,2026-04-25T18:01:52.452685
182,368.96843809573437,2026-04-25T18:01:52.452685
183,370.050919212106,2026-04-25T18:01:52.452685
184,373.06192837211285,2026-04-25T18:01:52.452685
185,373.86487391090856,2026-04-25T18:01:52.452685
186,375.82591276673935,2026-04-25T18:01:52.452685
187,376.3240922306681,2026-04-25T18:01:52.452685
188,378.4366802499655,2026-04-25T18:01:52.452685
189,379.87297534653237,2026-04-25T18:01:52.452685
190,381.4844686171865,2026-04-25T18:01:52.452685
191,383.44352944953647,2026-04-25T18:01:52.452685
192,384.9561168148637,2026-04-25T18:01:52.452685
193,385.8613008459742,2026-04-25T18:01:52.452685
194,387.222890222388,2026-04-25T18:01:52.452685
195,388.84612835423223,2026-04-25T18:01:52.452685
196,391.456083563638,2026-04-25T18:01:52.452685
197,392.24508333951906,2026-04-25T18:01:52.452685
198,393.427743844434,2026-04-25T18:01:52.452685
199,395.5828700109937,2026-04-25T18:01:52.452685
200,396.3818542225922,2026-04-25T18:01:52.452685
201,397.9187362096142,2026-04-25T18:01:52.452685
202,399.9851198761949,2026-04-25T18:01:52.452685
203,401.83922860053326,2026-04-25T18:01:52.452685
204,402.8619177638861,2026-04-25T18:01:52.452685
205,404.23644180020796,2026-04-25T18:01:52.452685
206,405.1343874599099,2026-04-25T18:01:52.452685
207,407.5814603868962,2026-04-25T18:01:52.452685
208,408.94724550235117,2026-04-25T18:01:52.452685
209,410.5138691933666,2026-04-25T18:01:52.452685
210,411.9722678042787,2026-04-25T18:01:52.452685
211,413.26273607018504,2026-04-25T18:01:52.452685
212,415.01880975515513,2026-04-25T18:01:52.452685
213,415.4552149962946,2026-04-25T18:01:52.452685
214,418.3877057895348,2026-04-25T18:01:52.452685
215,419.8613648181523,2026-04-25T18:01:52.452685
216,420.64382762504175,2026-04-25T18:01:52.452685
217,422.07671005882673,2026-04-25T18:01:52.452685
218,423.71657962748185,2026-04-25T18:01:52.452685
219,425.06988249446135,2026-04-25T18:01:52.452685
220,427.2088250840746,2026-04-25T18:01:52.452685
221,428.12791407661666,2026-04-25T18:01:52.452685
222,430.3287454309386,2026-04-25T18:01:52.452685
223,431.30130693070356,2026-04-25T18:01:52.452685
224,432.1386417345886,2026-04-25T18:01:52.452685
225,433.8892184809272,2026-04-25T18:01:52.452685
226,436.16100643264696,2026-04-25T18:01:52.452685
227,437.5816981676686,2026-04-25T18:01:52.452685
228,438.6217386562722,2026-04-25T18:01:52.452685
229,439.9184422143706,2026-04-25T18:01:52.452685
230,441.68319920118904,2026-04-25T18:01:52.452685
231,442.9045463026095,2026-04-25T18:01:52.452685
232,444.31933627755916,2026-04-25T18:01:52.452685
233,446.8606226964295,2026-04-25T18:01:52.452685
234,447.4417041944933,2026-04-25T18:01:52.452685
235,449.14854568502335,2026-04-25T18:01:52.452685
236,450.1269457803136,2026-04-25T18:01:52.452685
237,451.40330844538875,2026-04-25T18:01:52.452685
238,453.9867378066779,2026-04-25T18:01:52.452685
239,454.9746837686168,2026-04-25T18:01:52.452685
240,456.3284266892461,2026-04-25T18:01:52.452685
241,457.90389306410293,2026-04-25T18:01:52.452685
242,459.513415281106,2026-04-25T18:01:52.452685
243,460.0879444221759,2026-04-25T18:01:52.452685
244,462.0653672748825,2026-04-25T18:01:52.452685
245,464.0572869105483,2026-04-25T18:01:52.452685
246,465.6715392113711,2026-04-25T18:01:52.452685
247,466.5702869308262,2026-04-25T18:01:52.452685
248,467.43904621026167,2026-04-25T18:01:52.452685
249,469.53600455911203,2026-04-25T18:01:52.452685
250,470.7736554781016,2026-04-25T18:01:52.452685
251,472.7991746619088,2026-04-25T18:01:52.452685
252,473.8352323451397,2026-04-25T18:01:52.452685
253,475.6003393693758,2026-04-25T18:01:52.452685
254,476.76901523748455,2026-04-25T18:01:52.452685
255,478.07526376667096,2026-04-25T18:01:52.452685
256,478.94218153463487,2026-04-25T18:01:52.452685
257,481.8303393762866,2026-04-25T18:01:52.452685
258,482.8347827909824,2026-04-25T18:01:52.452685
259,483.8514272124825,2026-04-25T18:01:52.452685
260,485.539148129356,2026-04-25T18:01:52.452685
261,486.52871826165125,2026-04-25T18:01:52.452685
262,488.38056709001745,2026-04-25T18:01:52.452685
263,489.66176157795616,2026-04-25T18:01:52.452685
264,491.398821593663,2026-04-25T18:01:52.452685
265,493.3144415817853,2026-04-25T18:01:52.452685
266,493.9579978053694,2026-04-25T18:01:52.452685
267,495.35882882213133,2026-04-25T18:01:52.452685
268,496.42969621575907,2026-04-25T18:01:52.452685
269,498.58078242968656,2026-04-25T18:01:52.452685
270,500.3090849416905,2026-04-25T18:01:52.452685
271,501.6044469651454,2026-04-25T18:01:52.452685
272,502.2762703271182,2026-04-25T18:01:52.452685
273,504.4997733134277,2026-04-25T18:01:52.452685
274,505.4152317422445,2026-04-25T18:01:52.452685
275,506.4641527095235,2026-04-25T18:01:52.452685
276,508.8007003364678,2026-04-25T18:01:52.452685
277,510.2642279436728,2026-04-25T18:01:52.452685
278,511.5622897003746,2026-04-25T18:01:52.452685
279,512.6231445314073,2026-04-25T18:01:52.452685
280,513.6689855554738,2026-04-25T18:01:52.452685
281,515.4350571672994,2026-04-25T18:01:52.452685
282,517.5896685724675,2026-04-25T18:01:52.452685
283,518.2342231475501,2026-04-25T18:01:52.452685
284,520.1063104117231,2026-04-25T18:01:52.452685
285,521.525193449492,2026-04-25T18:01:52.452685
286,522.4566961777302,2026-04-25T18:01:52.452685
287,523.9605308920159,2026-04-25T18:01:52.452685
288,525.0773856872796,2026-04-25T18:01:52.452685
289,527.9036416012724,2026-04-25T18:01:52.452685
290,528.4062138522926,2026-04-25T18:01:52.452685
291,529.8062263187069,2026-04-25T18:01:52.452685
292,530.866917883961,2026-04-25T18:01:52.452685
293,532.6881830282938,2026-04-25T18:01:52.452685
294,533.7796307537687,2026-04-25T18:01:52.452685
295,535.6643140758732,2026-04-25T18:01:52.452685
296,537.0697590831222,2026-04-25T18:01:52.452685
297,538.428526176248,2026-04-25T18:01:52.452685
298,540.2131663762281,2026-04-25T18:01:52.452685
299,540.631390247295,2026-04-25T18:01:52.452685
300,541.8474371212012,2026-04-25T18:01:52.452685
301,544.3238901010053,2026-04-25T18:01:52.452685
302,545.6368332489347,2026-04-25T18:01:52.452685
303,547.0109120581222,2026-04-25T18:01:52.452685
304,547.9316133644893,2026-04-25T18:01:52.452685
305,549.4975675626613,2026-04-25T18:01:52.452685
306,550.9700100394839,2026-04-25T18:01:52.452685
307,552.0495722005649,2026-04-25T18:01:52.452685
308,553.7649721191588,2026-04-25T18:01:52.452685
309,555.7920205616825,2026-04-25T18:01:52.452685
310,556.8994764068555,2026-04-25T18:01:52.452685
311,557.5646591720584,2026-04-25T18:01:52.452685
312,559.3162370286822,2026-04-25T18:01:52.452685
313,560.2408074972956,2026-04-25T18:01:52.452685
314,562.5592076160459,2026-04-25T18:01:52.452685
315,564.160879110786,2026-04-25T18:01:52.452685
316,564.5060559381498,2026-04-25T18:01:52.452685
317,566.6987876828078,2026-04-25T18:01:52.452685
318,567.731757901177,2026-04-25T18:01:52.452685
319,568.9239551796294,2026-04-25T18:01:52.452685
320,570.0511147824635,2026-04-25T18:01:52.452685
321,572.4199841324528,2026-04-25T18:01:52.452685
322,573.6146105267582,2026-04-25T18:01:52.452685
323,575.0938860144948,2026-04-25T18:01:52.452685
324,575.8072471409288,2026-04-25T18:01:52.452685
325,577.0390034720982,2026-04-25T18:01:52.452685
326,579.0988346720366,2026-04-25T18:01:52.452685
327,580.1369593623846,2026-04-25T18:01:52.452685
328,581.9465762659016,2026-04-25T18:01:52.452685
329,583.2360882191673,2026-04-25T18:01:52.452685
330,584.5617059034656,2026-04-25T18:01:52.452685
331,585.9845632049884,2026-04-25T18:01:52.452685
332,586.7427718912502,2026-04-25T18:01:52.452685
333,588.139663266248,2026-04-25T18:01:52.452685
334,590.6603975167652,2026-04-25T18:01:52.452685
335,591.7258580650481,2026-04-25T18:01:52.452685
336,592.5713583002256,2026-04-25T18:01:52.452685
337,593.974714682231,2026-04-25T18:01:52.452685
338,595.728153697389,2026-04-25T18:01:52.452685
339,596.3627683283936,2026-04-25T18:01:52.452685
340,598.4930773461648,2026-04-25T18:01:52.452685
341,599.5456403643649,2026-04-25T18:01:52.452685
342,601.6021367359327,2026-04-25T18:01:52.452685
343,602.5791678863873,2026-04-25T18:01:52.452685
344,603.6256189035793,2026-04-25T18:01:52.452685
345,604.6162184937533,2026-04-25T18:01:52.452685
346,606.383460422109,2026-04-25T18:01:52.452685
347,608.4132173111873,2026-04-25T18:01:52.452685
348,609.38957515472,2026-04-25T18:01:52.452685
349,610.8391629377394,2026-04-25T18:01:52.452685
350,611.7742096208873,2026-04-25T18:01:52.452685
351,613.5997786756371,2026-04-25T18:01:52.452685
352,614.6462378722326,2026-04-25T18:01:52.452685
353,615.538563369407,2026-04-25T18:01:52.452685
354,618.1128313664423,2026-04-25T18:01:52.452685
355,619.1844825979535,2026-04-25T18:01:52.452685
356,620.2728936722275,2026-04-25T18:01:52.452685
357,621.7092945279487,2026-04-25T18:01:52.452685
358,622.375002739779,2026-04-25T18:01:52.452685
359,624.269900018178,2026-04-25T18:01:52.452685
360,626.0192834276543,2026-04-25T18:01:52.452685
361,627.268396850783,2026-04-25T18:01:52.452685
362,628.3258623594604,2026-04-25T18:01:52.452685
363,630.4738874382921,2026-04-25T18:01:52.452685
364,630.8057809271976,2026-04-25T18:01:52.452685
365,632.225141167116,2026-04-25T18:01:52.452685
366,633.5468582522517,2026-04-25T18:01:52.452685
367,635.5238003106056,2026-04-25T18:01:52.452685
368,637.3971931598372,2026-04-25T18:01:52.452685
369,637.9255139808226,2026-04-25T18:01:52.452685
370,638.9279382668568,2026-04-25T18:01:52.452685
371,640.6947946688256,2026-04-25T18:01:52.452685
372,641.9454996657054,2026-04-25T18:01:52.452685
373,643.2788837813979,2026-04-25T18:01:52.452685
374,644.9905782297479,2026-04-25T18:01:52.452685
375,646.3481915955016,2026-04-25T18:01:52.452685
376,647.761753004289,2026-04-25T18:01:52.452685
377,648.7864008887825,2026-04-25T18:01:52.452685
378,650.1975193452565,2026-04-25T18:01:52.452685
379,650.6686838913961,2026-04-25T18:01:52.452685
380,653.6495716053947,2026-04-25T18:01:52.452685
381,654.3019205863194,2026-04-25T18:01:52.452685
382,655.7094630223556,2026-04-25T18:01:52.452685
383,656.9640845994606,2026-04-25T18:01:52.452685
384,658.1756144186054,2026-04-25T18:01:52.452685
385,659.663845972964,2026-04-25T18:01:52.452685
386,660.7167325952793,2026-04-25T18:01:52.452685
387,662.2965864311004,2026-04-25T18:01:52.452685
388,664.2446046522731,2026-04-25T18:01:52.452685
389,665.3427630955991,2026-04-25T18:01:52.452685
390,666.5151477041729,2026-04-25T18:01:52.452685
391,667.1484948945554,2026-04-25T18:01:52.452685
392,668.9758488202351,2026-04-25T18:01:52.452685
393,670.3235852058625,2026-04-25T18:01:52.452685
394,672.4581835841698,2026-04-25T18:01:52.452685
395,673.0435782861476,2026-04-25T18:01:52.452685
396,674.3558978101231,2026-04-25T18:01:52.452685
397,676.1396743636268,2026-04-25T18:01:52.452685
398,677.2301806687639,2026-04-25T18:01:52.452685
399,677.8004447462214,2026-04-25T18:01:52.452685
400,679.7421978825282,2026-04-25T18:01:52.452685
401,681.8949915331519,2026-04-25T18:01:52.452685
402,682.6027350197506,2026-04-25T18:01:52.452685
403,684.0135498138695,2026-04-25T18:01:52.452685
404,684.9726298620984,2026-04-25T18:01:52.452685
405,686.163223587728,2026-04-25T18:01:52.452685
406,687.9615431847037,2026-04-25T18:01:52.452685
407,689.3689413622724,2026-04-25T18:01:52.452685
408,690.4747350323505,2026-04-25T18:01:52.452685
409,692.4516844155208,2026-04-25T18:01:52.452685
410,693.1769700606019,2026-04-25T18:01:52.452685
411,694.5339086998732,2026-04-25T18:01:52.452685
412,695.7263359209267,2026-04-25T18:01:52.452685
413,696.6260699003456,2026-04-25T18:01:52.452685
414,699.1320954760134,2026-04-25T18:01:52.452685
415,700.2967391321434,2026-04-25T18:01:52.452685
416,701.3017429546461,2026-04-25T18:01:52.452685
417,702.2273431457605,2026-04-25T18:01:52.452685
418,704.0338392955252,2026-04-25T18:01:52.452685
419,705.1258139546193,2026-04-25T18:01:52.452685
420,706.1846547995178,2026-04-25T18:01:52.452685
421,708.26907088511,2026-04-25T18:01:52.452685
422,709.2295885702844,2026-04-25T18:01:52.452685
423,711.1302741796854,2026-04-25T18:01:52.452685
424,711.9002899143753,2026-04-25T18:01:52.452685
425,712.7493834701012,2026-04-25T18:01:52.452685
426,714.0827718206693,2026-04-25T18:01:52.452685
427,716.1123964540521,2026-04-25T18:01:52.452685
428,717.4825697031002,2026-04-25T18:01:52.452685
429,718.742786545486,2026-04-25T18:01:52.452685
430,719.6971009883657,2026-04-25T18:01:52.452685
431,721.3511622185364,2026-04-25T18:01:52.452685
432,722.2775049756743,2026-04-25T18:01:52.452685
433,723.8458210451284,2026-04-25T18:01:52.452685
434,724.5626138903791,2026-04-25T18:01:52.452685
435,727.0564032300495,2026-04-25T18:01:52.452685
436,728.405481588934,2026-04-25T18:01:52.452685
437,728.7587497956142,2026-04-25T18:01:52.452685
438,730.4164821227565,2026-04-25T18:01:52.452685
439,731.4173549185986,2026-04-25T18:01:52.452685
440,732.8180527144999,2026-04-25T18:01:52.452685
441,734.789643252378,2026-04-25T18:01:52.452685
442,735.7654592085784,2026-04-25T18:01:52.452685
443,737.0529289122653,2026-04-25T18:01:52.452685
444,738.5804211713738,2026-04-25T18:01:52.452685
445,739.909523674042,2026-04-25T18:01:52.452685
446,740.573807447295,2026-04-25T18:01:52.452685
447,741.7573355729418,2026-04-25T18:01:52.452685
448,743.8950131424737,2026-04-25T18:01:52.452685
449,745.3449895506119,2026-04-25T18:01:52.452685
450,746.4993058994323,2026-04-25T18:01:52.452685
451,747.6745636242695,2026-04-25T18:01:52.452685
452,748.2427544650847,2026-04-25T18:01:52.452685
453,750.6559503621243,2026-04-25T18:01:52.452685
454,750.9663810666509,2026-04-25T18:01:52.452685
455,752.8876215672025,2026-04-25T18:01:52.452685
456,754.3223704717127,2026-04-25T18:01:52.452685
457,755.8393089760377,2026-04-25T18:01:52.452685
458,756.7682484399509,2026-04-25T18:01:52.452685
459,758.1017292464127,2026-04-25T18:01:52.452685
460,758.9002382248924,2026-04-25T18:01:52.452685
461,760.282366983512,2026-04-25T18:01:52.452685
462,762.700033249691,2026-04-25T18:01:52.452685
463,763.5930661728372,2026-04-25T18:01:52.452685
464,764.3075227241803,2026-04-25T18:01:52.452685
465,766.0875400998361,2026-04-25T18:01:52.452685
466,767.2184721555395,2026-04-25T18:01:52.452685
467,768.2814618065092,2026-04-25T18:01:52.452685
468,769.6934072526244,2026-04-25T18:01:52.452685
469,771.0708393136783,2026-04-25T18:01:52.452685
470,772.9616175657571,2026-04-25T18:01:52.452685
471,774.1177446279404,2026-04-25T18:01:52.452685
472,775.0478470965805,2026-04-25T18:01:52.452685
473,775.9997119631715,2026-04-25T18:01:52.452685
474,777.2997485295926,2026-04-25T18:01:52.452685
475,779.157076949189,2026-04-25T18:01:52.452685
476,780.3489250041818,2026-04-25T18:01:52.452685
477,782.137664390812,2026-04-25T18:01:52.452685
478,782.5979439460735,2026-04-25T18:01:52.452685
479,784.2888226124655,2026-04-25T18:01:52.452685
480,785.7390897007151,2026-04-25T18:01:52.452685
481,786.4611474505062,2026-04-25T18:01:52.452685
482,787.4684638159101,2026-04-25T18:01:52.452685
483,790.0590923641196,2026-04-25T18:01:52.452685
484,790.8316204679211,2026-04-25T18:01:52.452685
485,792.4277076086045,2026-04-25T18:01:52.452685
486,792.8886525626225,2026-04-25T18:01:52.452685
487,794.4837918698931,2026-04-25T18:01:52.452685
488,795.6065961561624,2026-04-25T18:01:52.452685
489,797.2634700380356,2026-04-25T18:01:52.452685
490,798.7075701662963,2026-04-25T18:01:52.452685
491,799.6543362108977,2026-04-25T18:01:52.452685
492,801.6042464629821,2026-04-25T18:01:52.452685
493,802.5419848784181,2026-04-25T18:01:52.452685
494,803.2430962042703,2026-04-25T18:01:52.452685
495,804.7622391126617,2026-04-25T18:01:52.452685
496,805.8616356670949,2026-04-25T18:01:52.452685
497,808.1518149359937,2026-04-25T18:01:52.452685
498,809.1977833633008,2026-04-25T18:01:52.452685
499,810.0818048864071,2026-04-25T18:01:52.452685
500,811.1843588465064,2026-04-25T18:01:52.452685
501,812.7711083891094,2026-04-25T18:01:52.452685
502,814.0459136075109,2026-04-25T18:01:52.452685
503,814.8705396258725,2026-04-25T18:01:52.452685
504,816.7277377143946,2026-04-25T18:01:52.452685
505,818.3806688663617,2026-04-25T18:01:52.452685
506,819.204642170824,2026-04-25T18:01:52.452685
507,820.7218984438693,2026-04-25T18:01:52.452685
