n,partie_imaginaire,T_MAX,methode,n_workers,precision_dps,calcule_le
1,14.134725141734693,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
2,21.022039638771556,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
3,25.010857580145675,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
4,30.424876125859516,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
5,32.93506158773919,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
6,37.586178158825675,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
7,40.91871901214749,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
8,43.327073280914995,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
9,48.00515088116716,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
10,49.7738324776723,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
11,52.970321477714464,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
12,56.44624769706342,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
13,59.34704400260286,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
14,60.83177852460981,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
15,65.1125440480816,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
16,67.07981052949418,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
17,69.54640171117398,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
18,72.0671576744819,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
19,75.70469069908394,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
20,77.1448400688748,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
21,79.33737502024937,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
22,82.91038085408609,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
23,84.73549298051705,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
24,87.42527461312524,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
25,88.80911120763434,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
26,92.49189927055848,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
