n,partie_imaginaire,T_MAX,methode,n_workers,turing_complet,calcule_le
1,14.134725141734695,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
2,21.022039638771556,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
3,25.01085758014569,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
4,30.424876125859512,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
5,32.935061587739085,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
6,37.58617815882567,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
7,40.9187190121475,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
8,43.32707328091489,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
9,48.00515088116716,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
10,49.7738324776723,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
11,52.97032147771446,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
12,56.44624769706339,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
13,59.34704400260235,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
14,60.83177852460981,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
15,65.1125440480816,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
16,67.0798105294938,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
17,69.54640171117398,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
18,72.06715767448189,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
19,75.70469069908397,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
20,77.14484006887481,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
21,79.33737502024915,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
22,82.91038085408603,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
23,84.73549298051705,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
24,87.42527461312524,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
25,88.80911120763446,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
26,92.49189927055849,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
27,94.65134404051989,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
28,95.87063422824531,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
29,98.83119421819369,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
30,101.31785100573138,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
31,103.72553804047834,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
32,105.44662305232609,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
33,107.16861118427641,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
34,111.02953554316967,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
35,111.87465917699264,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
36,114.32022091545271,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
37,116.22668032085753,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
38,118.79078286597623,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
39,121.37012500242065,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
40,122.94682929355258,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
41,124.25681855434577,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
42,127.5166838795965,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
43,129.57870419995604,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
44,131.08768853093267,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
45,133.4977372029976,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
46,134.75650975337388,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
47,138.11604205453344,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
48,139.7362089521214,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
49,141.12370740402113,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
50,143.11184580762063,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
51,146.0009824867655,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
52,147.42276534255947,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
53,150.05352042078488,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
54,150.92525761224147,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
55,153.0246938111989,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
56,156.1129092942379,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
57,157.59759181759406,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
58,158.8499881714205,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
59,161.18896413759603,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
60,163.030709687182,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
61,165.5370691879004,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
62,167.1844399781747,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
63,169.09451541556882,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
64,169.9119764794117,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
65,173.41153651959155,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
66,174.75419152336573,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
67,176.44143429771043,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
68,178.37740777609997,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
69,179.91648402025695,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
70,182.20707848436646,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
71,184.8744678483875,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
72,185.5987836777071,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
73,187.22892258350186,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
74,189.41615865601693,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
75,192.0266563607138,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
76,193.07972660384567,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
77,195.26539667952926,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
78,196.87648184095832,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
79,198.01530967625192,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
80,201.26475194370377,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
81,202.49359451414054,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
82,204.18967180310455,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
83,205.3946972021633,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
84,207.9062588878062,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
85,209.57650971685626,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
86,211.6908625953653,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
87,213.34791935971265,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
88,214.54704478349143,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
89,216.16953850826349,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
90,219.06759634902147,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
91,220.714918839314,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
92,221.43070555469333,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
93,224.00700025460432,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
94,224.9833246695823,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
95,227.4214442796793,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
96,229.33741330552536,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
97,231.25018870049917,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
