n,partie_imaginaire,T_MAX,methode,step_adaptatif,n_workers,turing_complet,calcule_le
1,14.134725141734693,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
2,21.022039638771556,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
3,25.01085758014568,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
4,30.424876125859516,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
5,32.935061587739085,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
6,37.586178158825675,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
7,40.9187190121475,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
8,43.327073280914995,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
9,48.00515088116737,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
10,49.7738324776723,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
11,52.97032147771446,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
12,56.44624769706339,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
13,59.34704400260235,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
14,60.83177852460981,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
15,65.1125440480816,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
16,67.07981052949418,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
17,69.54640171117397,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
18,72.06715767448173,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
19,75.70469069908394,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
20,77.1448400688747,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
21,79.33737502024937,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
22,82.91038085408603,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
23,84.73549298051705,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
24,87.42527461312523,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
25,88.80911120763447,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
26,92.49189927055849,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
27,94.65134404052021,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
28,95.87063422824531,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
29,98.83119421819369,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
30,101.3178510057314,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
31,103.72553804047834,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
32,105.44662305232609,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
33,107.16861118427641,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
34,111.02953554316969,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
35,111.87465917699262,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
36,114.32022091545271,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
37,116.22668032085755,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
38,118.79078286597621,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
39,121.37012500242065,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
40,122.94682929355258,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
41,124.25681855434556,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
42,127.5166838795965,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
43,129.57870419995604,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
44,131.08768853093267,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
45,133.49773720299763,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
46,134.75650975337388,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
