n,partie_imaginaire,T_MAX,version,methode_affinage,pas_balayage,calcule_le
1,14.134725141734695,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
2,21.022039638771556,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
3,25.01085758014569,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
4,30.424876125859512,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
5,32.93506158773919,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
6,37.586178158825675,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
7,40.9187190121475,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
8,43.327073280915,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
9,48.00515088116716,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
10,49.7738324776723,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
11,52.970321477714464,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
12,56.44624769706339,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
13,59.34704400260235,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
14,60.83177852460981,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
15,65.1125440480816,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
16,67.07981052949417,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
17,69.54640171117398,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
18,72.0671576744819,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
19,75.70469069908393,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
20,77.1448400688748,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
21,79.33737502024937,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
22,82.91038085408603,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
23,84.73549298051705,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
24,87.42527461312523,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
25,88.80911120763446,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
26,92.49189927055849,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
27,94.65134404051989,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
28,95.87063422824531,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
29,98.83119421819369,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
30,101.31785100573138,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
31,103.72553804047834,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
32,105.44662305232609,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
33,107.1686111842764,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
34,111.02953554316967,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
35,111.87465917699264,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
36,114.32022091545271,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
37,116.22668032085755,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
38,118.79078286597621,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
39,121.37012500242065,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
40,122.94682929355258,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
41,124.25681855434577,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
42,127.5166838795965,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
43,129.57870419995606,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
44,131.08768853093267,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
45,133.4977372029976,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
46,134.75650975337388,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
47,138.11604205453344,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
48,139.7362089521214,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
49,141.12370740402113,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
50,143.11184580762063,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
51,146.0009824867655,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
