n,partie_imaginaire,sauvegarde_le
1,14.134725141734693,2026-04-25T17:52:09.588267
2,21.022039638771556,2026-04-25T17:52:09.588267
3,25.01085758014569,2026-04-25T17:52:09.588267
4,30.424876125859512,2026-04-25T17:52:09.588267
5,32.935061587739185,2026-04-25T17:52:09.588267
6,37.586178158825675,2026-04-25T17:52:09.588267
7,40.9187190121475,2026-04-25T17:52:09.588267
8,43.327073280914995,2026-04-25T17:52:09.588267
9,48.005150881167154,2026-04-25T17:52:09.588267
10,49.7738324776723,2026-04-25T17:52:09.588267
11,52.97032147771446,2026-04-25T17:52:09.588267
12,56.44624769706339,2026-04-25T17:52:09.588267
13,59.34704400260236,2026-04-25T17:52:09.588267
14,60.83177852460982,2026-04-25T17:52:09.588267
15,65.11254404808162,2026-04-25T17:52:09.588267
16,67.07981052949418,2026-04-25T17:52:09.588267
17,69.54640171117397,2026-04-25T17:52:09.588267
18,72.0671576744819,2026-04-25T17:52:09.588267
19,75.70469069908393,2026-04-25T17:52:09.588267
20,77.1448400688748,2026-04-25T17:52:09.588267
21,79.33737502024937,2026-04-25T17:52:09.588267
22,82.91038085408603,2026-04-25T17:52:09.588267
23,84.73549298051704,2026-04-25T17:52:09.588267
24,87.42527461312524,2026-04-25T17:52:09.588267
25,88.80911120763446,2026-04-25T17:52:09.588267
26,92.49189927055849,2026-04-25T17:52:09.588267
27,94.65134404051989,2026-04-25T17:52:09.588267
28,95.87063422824532,2026-04-25T17:52:09.588267
29,98.83119421819369,2026-04-25T17:52:09.588267
30,101.3178510057314,2026-04-25T17:52:09.588267
31,103.72553804047833,2026-04-25T17:52:09.588267
32,105.4466230523261,2026-04-25T17:52:09.588267
33,107.16861118427641,2026-04-25T17:52:09.588267
34,111.02953554316969,2026-04-25T17:52:09.588267
35,111.87465917699265,2026-04-25T17:52:09.588267
36,114.32022091545272,2026-04-25T17:52:09.588267
37,116.22668032085755,2026-04-25T17:52:09.588267
38,118.79078286597623,2026-04-25T17:52:09.588267
39,121.37012500242065,2026-04-25T17:52:09.588267
40,122.9468292935526,2026-04-25T17:52:09.588267
41,124.25681855434577,2026-04-25T17:52:09.588267
42,127.51668387959648,2026-04-25T17:52:09.588267
43,129.57870419995604,2026-04-25T17:52:09.588267
